"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Indoor positioning in Wireless LANS using compressive sensing signal-strength fingerprints","D. Milioris; G. Tzagkarakis; P. Jacquet; P. Tsakalides","University of Crete, Rethymnon, GR; CEA/DSM, SEDI-SAP, Service d'Astrophysique, Centre de Saclay, France; INRIA - Rocquencourt, Paris, France; Department of Computer Science, University of Crete",2011 19th European Signal Processing Conference,"2 Apr 2015","2011","","","1776","1780","Accurate indoor localization is a significant task for many ubiquitous and pervasive computing applications, with numerous solutions based on IEEE802.11, bluetooth, ultrasound and infrared technologies being proposed. The inherent sparsity present in the problem of location estimation motivates in a natural fashion the use of the recently introduced theory of compressive sensing (CS), which states that a signal having a sparse representation in an appropriate basis can be reconstructed with high accuracy from a small number of random linear projections. In the present work, we exploit the framework of CS to perform accurate indoor localization based on signal-strength measurements, while reducing significantly the amount of information transmitted from a wireless device with limited power, storage, and processing capabilities to a central server. Equally importantly, the inherent property of CS acting as a weak encryption process is demonstrated by showing that the proposed approach presents an increased robustness to potential intrusions of an unauthorized entity. The experimental evaluation reveals that the proposed CS-based localization technique is superior in terms of an increased localization accuracy in conjunction with a low computational complexity when compared with previous statistical fingerprint-based methods.","2076-1465","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7074074","","Vectors;Estimation;Runtime;Computer architecture;Training;Encryption;Microprocessors","","1","1","22","","2 Apr 2015","29 Aug.-2 Sept. 2011","29 Aug.-2 Sept. 2011","IEEE","IEEE Conferences"
"ML-estimator and CRLB on carrier-frequency offset in TDM receivers for direction finding","A. Richter; N. Kashyap","Department of Signal Processing and Acoustics, Aalto University, Aalto, Finland; Department of Signal Processing and Acoustics, Aalto University, Aalto, Finland",2011 19th European Signal Processing Conference,"2 Apr 2015","2011","","","624","628","Recently switched antenna array, sometimes also called Time Division Multiplexing (TDM), receivers have found their way in systems suitable for, e.g. indoor positioning. Such systems use low-power and low-cost transmitters and receivers, having significant differences in their local reference clocks. Consequently, the received signal in the base-band carries a carrier-frequency offset (CFO). This CFO has to be estimated from the observed signal and compensated for. In this paper Cramér-Rao lower bounds on the CFO for two data models of switched antenna array receivers signals are derived. Furthermore a closed form Maximum Likelihood Estimator (MLE) for the CFO and the antenna data is proposed. The derived CRLBs are used to study the statistical performance of the maximum likelihood estimator.","2076-1465","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7074130","","Switches;Data models;Maximum likelihood estimation;Arrays;Receiving antennas;Antenna arrays","","","","16","","2 Apr 2015","29 Aug.-2 Sept. 2011","29 Aug.-2 Sept. 2011","IEEE","IEEE Conferences"
"Localization in wireless networks based on jointly compressed sensing","S. Nikitaki; P. Tsakalides","Department of Computer Science, University of Crete, Heraklion, Crete, Greece; Department of Computer Science, University of Crete, Heraklion, Crete, Greece",2011 19th European Signal Processing Conference,"2 Apr 2015","2011","","","1809","1813","Location sensing is fundamental for supporting wireless communications services. This paper exploits the signal correlation structure observed in an indoor localization environment in order to provide accurate position estimation by means of a limited amount of signal-strength measurements. Because the mobile devices have limited processing power and battery capacity, the proposed received signal-strength localization protocol avoids putting on extra computational overhead on the mobile device by performing the position estimation at the Access Points (APs). Since the APs observe correlated signals from the mobile devices, the introduced method exploits the common structure of the received measurements in order to jointly estimate the positions precisely. The evaluation of the proposed protocol is performed on real laboratory data through experiments that quantify the impact of the system parameters on the location error.","2076-1465","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7074129","","Mobile communication;Vectors;Runtime;Compressed sensing;Signal to noise ratio;Joints;Mobile handsets","","","","15","","2 Apr 2015","29 Aug.-2 Sept. 2011","29 Aug.-2 Sept. 2011","IEEE","IEEE Conferences"
"Fingerprint indoor position system based on OpenMAC","A. Verónica Medina; J. A. Gómez; O. Rivera; E. Dorronzoro; M. Merino","Departamento Tecnologia Electrónica Seville University ETSI-Informática, Avda. Reina Mercedes s/n, Seville, Spain; Departamento Tecnologia Electrónica Seville University ETSI-Informática, Avda. Reina Mercedes s/n, Seville, Spain; Departamento Tecnologia Electrónica Seville University ETSI-Informática, Avda. Reina Mercedes s/n, Seville, Spain; Departamento Tecnologia Electrónica Seville University ETSI-Informática, Avda. Reina Mercedes s/n, Seville, Spain; Departamento Tecnologia Electrónica Seville University ETSI-Informática, Avda. Reina Mercedes s/n, Seville, Spain",Proceedings of the International Conference on Wireless Information Networks and Systems,"6 Feb 2014","2011","","","47","52","This paper presents a work in progress for the developing of a fingerprint indoor position system based on OpenMAC, an IEEE 802.15.4 embedded software implementation from Atmel to be used in different scenarios like e_health, ambient living or smart building. The system is thought to work as another one that we have yet developed but using the BitCloud Stack, a full-featured, second generation embedded software stack from the same supplier, but improving it. The first steps followed up in the system development are shown in this paper.","","978-989-8425-73-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6733037","IEEE 802.15.4;RSSI;Centroid;Indoor position;ZigBee;WSN","Mobile nodes;Sensors;Zigbee;Wireless sensor networks;Databases","","","","14","","6 Feb 2014","18-21 July 2011","18-21 July 2011","IEEE","IEEE Conferences"
"Measuring phase characteristics of ultrasonic microphones for accurate ultrasonic localization Systems","S. Nakamura; M. Sugimoto; H. Hashizume","Department of Electrical Engineering and Information Systems, University of Tokyo, Bunkyo, Tokyo, Japan; Department of Electrical Engineering and Information Systems, University of Tokyo, Bunkyo, Tokyo, Japan; Information Systems Architecture, Research Division, National Institute of Information, Japan",2011 IEEE International Ultrasonics Symposium,"3 Sep 2012","2011","","","979","982","We have so far developed and evaluated a 3D ultrasonic localization system using the Extended Phase Accordance Method (EPAM) [3]. The method allows us to measure a 3D position of a transmitter by using a single compact receiver unit whose baseline is 76.2 mm and shows the satisfactory level of accuracy (13mm standard deviation in a static situation) for indoor positioning. However, we found that ultrasonic microphones showed different phase characteristics to different wave incident angles. Since EPAM uses the phase information of received signals for 3D localization, these phase characteristics induce a ranging error and therefore a transmitter is not correctly localized. To compensate these localization errors, we have conducted experiments and clarified phase characteristics of microphones.","1948-5727","978-1-4577-1252-4","10.1109/ULTSYM.2011.0240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6293696","","Microphones;Acoustics;Distance measurement;Receivers;Ultrasonic variables measurement;Transmitters;Micromechanical devices","","","2","5","IEEE","3 Sep 2012","18-21 Oct. 2011","18-21 Oct. 2011","IEEE","IEEE Conferences"
"The study of new generation of indoor positioning technology applied in exhibitions","Bin Hao; Zhong Chen; Suzhong Feng","Network Education Institute, Beijing University of Posts and Telecommunications, Beijing, China; Network Education Institute, Beijing University of Posts and Telecommunications, Beijing, China; Network Education Institute, Beijing University of Posts and Telecommunications, Beijing, China",2011 International Conference on Advanced Intelligence and Awareness Internet (AIAI 2011),"9 Jul 2012","2011","","","399","402","With wireless communications technology development, more and more indoor positioning technology has been used in exhibitions. This paper shows the difference between traditional indoor positioning technology and new generation of indoor positioning technology. Besides, this paper introduces several kinds of common indoor positioning technology and contrasts their precision and relative merit. Finally it gives a case to show how to design exhibitions based on the new generation of indoor positioning technology.","","978-1-84919-471-6","10.1049/cp.2011.1499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6233260","indoor positioning;intelligent terminal;REED;exhibition","","","","","","","9 Jul 2012","28-30 Oct. 2011","28-30 Oct. 2011","IET","IET Conferences"
"An indoor item finder with active RFID tags","Xu Chen; Y. Alfadh; Kok Keong Chai","International School, Beijing University of Posts and Telecommunications, Beijing, China; Department of Electronic Engineering. Queen Mary, University of London, El 4NS, UK; Department of Electronic Engineering, Queen's Mary, University of London, London, UK",IET International Conference on Communication Technology and Application (ICCTA 2011),"7 May 2012","2011","","","675","683","Radio Frequency identification (RFID) is a wireless identification technology, used in a variety of applications. It has the potential for providing indoor tracking/location services, since both the identity and location information can be provided. However, radio signals in indoor environments are generally harshly impaired and tags have very limited capabilities which pose many challenges for positioning them. The existing RFID systems provide only coarse-grained location information and depend on an array of RFID readers placed in strategic positions. This paper aims at implementing a RFID-based indoor locating system. It is called indoor item finder where a novel model location fingerprinting will be adopted. This novel model is the opposite of the traditional indoor positioning system by using active reference tags to replace expensive RFID readers. Based on this model, three positioning algorithms are reviewed and simulated: the LANDMARC (Indoor Location Sensing Using Active RFID), together with two improved approaches: LANDMARC with virtual reference tags (VIRE) and LANDMARC with position convergence. Also, in this paper, novel interpolation schemes for VIRE: dynamic linear interpolation and Lagrange interpolation are presented. According to the simulation results, the proposed dynamic linear interpolation ensures much better performance. Also, a series of simulation is conducted to find and analyze the effect of different parameters: number of readers, placement of readers, density of reference tags and number of nearest neighbours, thus find out the best setting for the indoor item finder.","","978-1-84919-470-9","10.1049/cp.2011.0754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6192951","K-nearest neighbours;location finger-printing;locating-aware computing;RSS (received signal strength);indoor sensing","","","4","","","","7 May 2012","14-16 Oct. 2011","14-16 Oct. 2011","IET","IET Conferences"
"Electronic map model of indoor location and navigation based on location fingerprints","Lianming Xu; Qing Sheng; Zhongliang Deng; Wenlong Liu","School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China",IET International Conference on Communication Technology and Application (ICCTA 2011),"7 May 2012","2011","","","766","771","Currently, indoor location and navigation technology gives new requirements to spatial information model, however, nowadays the spatial model cannot meet this demand. Therefore, location and navigation electronic map of indoor large-scale venues based on GIS is designed, indoor spatial information model of the location fingerprints is created, and location and navigation data model is added to the spatial information model. Experimental results show that the map model meets the needs of indoor location and navigation, and has some reference value at the same indoor location and navigation electronic map.","","978-1-84919-470-9","10.1049/cp.2011.0772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6192883","indoor;location;navigation;GIS;model","","","","","","","7 May 2012","14-16 Oct. 2011","14-16 Oct. 2011","IET","IET Conferences"
"Experimental demonstration of a novel indoor optical wireless localization system for tracking multiple users","K. Wang; A. Nirmalathas; C. Lim; E. Skafidas","National ICT Australia-Victoria Research Laboratory (NICTA-VRL), Australia; Department of Electrical and Electronic Engineering, University of Melbourne, VIC, Australia; Department of Electrical and Electronic Engineering, University of Melbourne, VIC, Australia; Department of Electrical and Electronic Engineering, University of Melbourne, VIC, Australia","2011 International Quantum Electronics Conference (IQEC) and Conference on Lasers and Electro-Optics (CLEO) Pacific Rim incorporating the Australasian Conference on Optics, Lasers and Spectroscopy and the Australian Conference on Optical Fibre Technology","3 May 2012","2011","","","790","791","In this paper we experimentally demonstrate a novel indoor localization system based on optical wireless technique. Results show that a high-speed localization capable of supporting multiple users with an average error <;15cm can be achieved.","","978-0-9775657-8-8","10.1109/IQEC-CLEO.2011.6193868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6193868","","Optical transmitters;Adaptive optics;Optical fibers;High speed optical techniques;Wireless communication;Optical fiber communication","","3","","3","IEEE","3 May 2012","28 Aug.-1 Sept. 2011","28 Aug.-1 Sept. 2011","IEEE","IEEE Conferences"
"Indoor positioning system based on carrier allocation visible light communication","H. -S. Kim; D. -R. Kim; S. -H. Yang; Y. -H. Son; S. -K. Han","Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Yonsei Institute of Convergence Technology, Yonsei University, Incheon, South Korea","2011 International Quantum Electronics Conference (IQEC) and Conference on Lasers and Electro-Optics (CLEO) Pacific Rim incorporating the Australasian Conference on Optics, Lasers and Spectroscopy and the Australian Conference on Optical Fibre Technology","3 May 2012","2011","","","787","789","The indoor optical positioning system utilizing visible light communication with the modulation method of carrier allocation is proposed. Trilateration method is adopted for determining an estimated position. Even though an inaccurate estimation of distance between transmitter and receiver is caused due to the radiation pattern of LED and incidence angle to receiver, an accuracy of 6-cm positioning error is experimentally achieved using normalization method.","","978-0-9775657-8-8","10.1109/IQEC-CLEO.2011.6193741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6193741","","Lighting;Mathematical model;Light emitting diodes;Equations;Antenna radiation patterns;Radio frequency;Ad hoc networks","","7","","5","IEEE","3 May 2012","28 Aug.-1 Sept. 2011","28 Aug.-1 Sept. 2011","IEEE","IEEE Conferences"
