"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Signal processing issues in indoor positioning by ultra wide band radio aided inertial navigation","J. -O. Nilsson; A. De Angelis; I. Skog; P. Carbone; P. Händel","Signal Processing Lab, Royal Institute of Technology, Stockholm, Sweden; Department of Electronic and Information Engineering, University of Perugia, Italy; Signal Processing Lab, Royal Institute of Technology, Stockholm, Sweden; Department of Electronic and Information Engineering, University of Perugia, Italy; Signal Processing Lab, Royal Institute of Technology, Stockholm, Sweden",2009 17th European Signal Processing Conference,"6 Apr 2015","2009","","","2161","2165","The difficulties and possibilities connected to indoor positioning suggest using several sources of navigational information. Apart from the signal processing of the individual sources this gives rise to the need for information fusion. This article aims at presenting and describing the signal processing methods and issues faced when constructing a navigation system based on a local ultra wide band (UWB) ranging system and an inertial navigation system (INS). The signal processing methods within the individual systems are described together with techniques for fusing the information from them. Finally, filtering results of experimental data is presented with expected convergence properties and positioning accuracy of below ±4 cm.","","978-161-7388-76-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7077425","","Noise measurement;Position measurement;Noise;Measurement uncertainty;Kalman filters;Equations;Distance measurement","","3","1","9","","6 Apr 2015","24-28 Aug. 2009","24-28 Aug. 2009","IEEE","IEEE Conferences"
"Simultaneous probabilistic localisation and learning: Online learning of feature maps","B. Betoni Parodi; A. Szabo; J. Bamberger; J. Horn","Department of Electrical Engineering, Institute for Control Engineering, Hamburg, Germany; Siemens AG, Information and Communications, Munich, Germany; Siemens AG, Information and Communications, Munich, Germany; Department of Electrical Engineering, Institute for Control Engineering, Hamburg, Germany",2009 European Control Conference (ECC),"2 Apr 2015","2009","","","3707","3712","Many indoor localisation systems based on existent radio communication networks use the received signal strength (RSS) as measured feature. The accuracy of such systems is directly related to the amount of labelled data, gathered during a calibration phase. This paper presents a new algorithm based on previous works from the same authors, where an explicit calibration phase is avoided applying unsupervised online learning, while the system is already operational. Using probabilistic localisation and non-parametric density estimation, the new approach uses unlabelled measurements to automatically learn a feature map with the probabilistic distribution of the measurements, starting only with a rough initial model, based on plausible physical properties. Simulations with artificial generated data in a 2D environment validate the introduced algorithm, covering discontinuities on the feature map and multimodal distributions, imposed by structured indoor environments.","","978-3-9524173-9-3","10.23919/ECC.2009.7074976","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7074976","","Kernel;Neurons;Probabilistic logic;Calibration;Estimation;Accuracy;Density measurement","","","","15","","2 Apr 2015","23-26 Aug. 2009","23-26 Aug. 2009","IEEE","IEEE Conferences"
"Single pan and tilt camera indoor positioning and tracking system","T. Gaspar; P. Oliveira","IST/ISR, Lisboa, Portugal; IST/ISR, Lisboa, Portugal",2009 European Control Conference (ECC),"2 Apr 2015","2009","","","2792","2797","An inexpensive single pan and tilt camera based indoor positioning and tracking system is proposed, supported on an architecture where three main modules can be identified: one related to the interface with the camera, tackled with parameter estimation techniques; other, responsible for isolating and identifying the target, based on advanced image processing techniques, and a third, that resorting to nonlinear dynamic system suboptimal state estimation techniques, performs the tracking of the target and estimates its position, and linear and angular velocities. The contributions of this work are fourfold: i) a new indoor positioning and tracking system architecture; ii) a new lens distortion calibration method, that preserves generic straight lines in images; iii) suboptimal nonlinear multiple-model adaptive estimation techniques, for the adopted target model, to tackle the positioning and tracking tasks, and iv) the implementation and validation in real time of a complex tracking system, based on a low cost single camera. To assess the performance of the proposed system, a series of indoor experimental tests for a range of operation of up to ten meter were carried out. An accuracy of 20 cm was obtained under realistic conditions.","","978-3-9524173-9-3","10.23919/ECC.2009.7074830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7074830","","Cameras;Target tracking;Nonlinear distortion;Mathematical model;Estimation;Three-dimensional displays;Image processing","","","","16","","2 Apr 2015","23-26 Aug. 2009","23-26 Aug. 2009","IEEE","IEEE Conferences"
"An area zoning based WLAN location system","Z. Yang; Z. Sun; L. Jiang; Y. Xie; H. Kishida","School of Electronic and Information Engineering, Dalian University of Technology, Dalian, China; School of Electronic and Information Engineering, Dalian University of Technology, Dalian, China; School of Electronic and Information Engineering, Dalian University of Technology, Dalian, China; School of Electronic and Information Engineering, Dalian University of Technology, Dalian, China; Oki Data Corporation, Tokyo, Japan",IET International Communication Conference on Wireless Mobile and Computing (CCWMC 2009),"26 Jul 2010","2009","","","437","440","In this paper, we present a wireless local area network (WLAN) indoor location system based on area zoning. The system estimates the zone where a mobile device resides by utilizing received signal strength indication (RSSI) from each access points (APs) and then calculates the mobile device's position. Experimental results show that the 25th and 50th percentile values of the location distance error are 1.57 m and 2.29 m respectively and indicate that the system has the higher degree of accuracy on estimating the position of wireless capable devices.","","978-1-84919-138-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521982","WLAN;Area zoning;RSSI;Location","","","","","","","26 Jul 2010","7-9 Dec. 2009","7-9 Dec. 2009","IET","IET Conferences"
"Demonstration of an indoor real-time location system with optical fibre backbone","C. -P. Liu; Y. Huang; T. Ismail; P. Brennan; A. Seeds","Department of Electronic and Electrical Engineering, University College London, London, UK; Department of Electronic and Electrical Engineering, University College London, London, UK; Department of Electronic and Electrical Engineering, University College London, London, UK; Department of Electronic and Electrical Engineering, University College London, London, UK; Department of Electronic and Electrical Engineering, University College London, London, UK",2009 International Topical Meeting on Microwave Photonics,"6 May 2010","2009","","","1","4","We report the first demontration of an indoor realtime location system, based on an optical fibre backbone, using an active RFID tag emitting 83.5 MHz wide linear FM chirp in the 2.4 GHz ISM band.","","978-1-4244-4788-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5461624","","Real time systems;Optical fibers;Spine;Virtual reality","","","","5","","6 May 2010","14-16 Oct. 2009","14-16 Oct. 2009","IEEE","IEEE Conferences"
"Exploiting multi-modality and diversity for localization enhancement: WiFi & RFID usecase","A. Papapostolou; H. Chaouchi","CNRS SAMOVAR, UMR 5157, LOR Department, TELECOM & Management SudParis, Paris, France; CNRS SAMOVAR, UMR 5157, LOR Department, TELECOM & Management SudParis, Paris, France","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","15 Apr 2010","2009","","","1903","1907","The proliferation of wireless technologies, mobile computing and Internet have spurred the development of innovative location-oriented services. For accomplishing this, an accurate and time-efficient location determination system is required. For indoor positioning, WiFi-based solutions are prominent due to the widespread availability of WLANs (wireless LANs). More recently, the RFID (Radio Frequency Identification) technology has also been suggested for its own key prospects. However, both of them suffer from their own limitations. In this paper, we propose the integration of both technologies for carrying out simultaneous tracking of users with multi-modal devices but with diverse capabilities. Taking advantage of this multi-modality but also diversity is investigated for enhancing the system accuracy. Results based on extensive simulations validate the superiority of our proposed hybrid scheme over its stand-alone counterparts.","2166-9589","978-1-4244-5123-4","10.1109/PIMRC.2009.5449853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5449853","","Radiofrequency identification;Global Positioning System;Mobile computing;Wireless LAN;Costs;RFID tags;Chaos;Telecommunication computing;Web and internet services;Computational modeling","","5","6","16","IEEE","15 Apr 2010","13-16 Sept. 2009","13-16 Sept. 2009","IEEE","IEEE Conferences"
"Practical performance of MIMO-OFDM-LDPC with low complexity double iterative receiver","H. Suzuki; I. B. Collings; M. Hedley; G. Daniels","CSIRO ICT Centre, Epping, NSW, Australia; CSIRO ICT Centre, Epping, NSW, Australia; CSIRO ICT Centre, Epping, NSW, Australia; CSIRO ICT Centre, Epping, NSW, Australia","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","15 Apr 2010","2009","","","2469","2473","This paper considers MIMO-OFDM transmission with low density parity check (LDPC) codes. We employ a low complexity minimum mean-square-error (MMSE) soft-interference-cancelation (SIC) based double iterative receiver (DIR). Results are presented for a real system implementation at 5.2 GHz. We achieve zero packet errors at 90% of the measured indoor locations, when transmitting at 600 Mbit/s, with 15 bit/s/Hz spectral efficiency and 26 dB signal-to-noise ratio. We show that the proposed receiver actually outperforms a list sphere detection (LSD) based single iterative receiver (SIR) at high coding rates, in practice. Investigations reveal that the LSDSIR is adversely affected by the non-Gaussian noise present at the receiver, while at the same time the MMSE-SIC-DIR is better able to handle transmitter noise present in the practical system.","2166-9589","978-1-4244-5123-4","10.1109/PIMRC.2009.5450285","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5450285","","Parity check codes;Transmitters;Signal to noise ratio;MIMO;Noise generators;OFDM;Iterative decoding;Performance loss;Phase noise;Australia","","4","","14","IEEE","15 Apr 2010","13-16 Sept. 2009","13-16 Sept. 2009","IEEE","IEEE Conferences"
"Macrocell offloading benefits in joint macro-and femtocell deployments","H. Claussen; D. Calin","Alcatel Lucent, Alcatel-Lucent, Bell Laboratories, Swindon, UK; Alcatel Lucent, Alcatel-Lucent, Bell Laboratories, Murray Hill, NJ, USA","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","15 Apr 2010","2009","","","350","354","Femtocells are low-cost, low-power cellular base stations that are designed to provide high quality cellular service in residential or enterprise environments and operate in licensed spectrum to connect conventional, unmodified mobile terminals to a mobile operator's network. The deployment of femtocells will reduce the number of indoor users that need to be served by the macrocellular network. Moreover, since indoor users usually have poorer radio channel conditions to the macrocell compared to outdoor users, for each indoor user that is served by a femtocell, the equivalent system resources of the macrocellular network might be able to serve more than one outdoor user, resulting in a potential macrocell offloading gain. The macrocell offloading benefits achievable in joint macro-femtocell deployments are investigated using system level simulations. It is shown that the potential increase in the number of supported users per macrocell in joint macro- and femtocell deployments depends on the macrocellular network configuration and can range from no gain for a system which is only interference limited to more than 30% in cases where noise is the limiting factor for indoor users at the macrocell edge.","2166-9589","978-1-4244-5123-4","10.1109/PIMRC.2009.5450259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5450259","Capacity;femtocells;macrocells;offloading","Macrocell networks;Frequency;Interference;Cellular networks;Base stations;Quality of service;Land mobile radio cellular systems;Throughput","","18","","8","IEEE","15 Apr 2010","13-16 Sept. 2009","13-16 Sept. 2009","IEEE","IEEE Conferences"
"On the impact of ranging-error models for simulating indoors location systems","S. Guardiola; I. Martin-Escalona; F. Barcelo-Arroyo","Department of Telematic Engineering, Universitat Poliltècnica de Catalunya, Barcelona, Spain; Department of Telematic Engineering, Universitat Poliltècnica de Catalunya, Barcelona, Spain; Department of Telematic Engineering, Universitat Poliltècnica de Catalunya, Barcelona, Spain","2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications","15 Apr 2010","2009","","","1918","1922","Wireless networks have boosted the interest of users and network operators on location due to the possible synergies between the cellular layout and location techniques. As a result, location methods have been proposed to provide this information in most wireless technologies. Evaluation of the performance of these and further techniques is initially achieved by means of simulation. It is essential to use suitable models for featuring errors that are present in observations. This characterization is especially relevant in time-based techniques such as time-of-arrival (TOA) and time-difference-of-arrival (TDOA). These techniques are significantly impacted by non-line-of-sight conditions; hence their performance is usually evaluated under these conditions. This article compares several ranging-error models adapted to indoors and studies their impact on the performance of time-based techniques (e.g., TOA and TDOA). Results indicate that simple models that are not based on the actual distance between nodes tend to underestimate the positioning error with respect to more complex models.","2166-9589","978-1-4244-5123-4","10.1109/PIMRC.2009.5450174","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5450174","ranging;error;TOA;TDOA;NLOS;indoor positioning","Proposals;Telematics;Fingerprint recognition;Time measurement;Wireless networks;Cellular networks;Computer errors;Time difference of arrival;Scalability;Costs","","2","","18","IEEE","15 Apr 2010","13-16 Sept. 2009","13-16 Sept. 2009","IEEE","IEEE Conferences"
"Improvement of indoor location sensing algorithm using Wireless Local Area Network (WLAN) IEEE 802.11b","C. W. Yuen; N. Balasubramaniam; N. M. Din","Center of Communications Service Convergence Technologies College of Engineering, Universiti Tenaga Malaysia (UNITEN), Kajang, Selangor Darul Ehsan, Malaysia; Center of Communications Service Convergence Technologies College of Engineering, Universiti Tenaga Malaysia (UNITEN), Kajang, Selangor Darul Ehsan, Malaysia; Center of Communications Service Convergence Technologies College of Engineering, Universiti Tenaga Malaysia (UNITEN), Kajang, Selangor Darul Ehsan, Malaysia",2009 IEEE 9th Malaysia International Conference on Communications (MICC),"15 Mar 2010","2009","","","857","862","This paper proposes to improve the performance of the K-Nearest Neighbour algorithm in predicting the location of a mobile user in an indoor environment. Emphasis is placed on RSS sample vector fluctuation stabilization, resulting in an overall 12% increase in the precision of predicting correct locations compared to previous efforts.","","978-1-4244-5533-1","10.1109/MICC.2009.5431451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5431451","Location Awareness;WLAN IEEE 802.11b;K-Nearest Neigbour","Wireless LAN;Mobile radio mobility management;Global Positioning System;RF signals;Indoor environments;Satellite navigation systems;Satellite broadcasting;Radar tracking;Databases;Mobile communication","","3","","16","IEEE","15 Mar 2010","15-17 Dec. 2009","15-17 Dec. 2009","IEEE","IEEE Conferences"
